"gene_short_name","id","WormCategory.1","WormCategory.2","WormCategory.3"
"nduo-6","WBGene00010957","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"ndfl-4","WBGene00010958","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"nduo-1","WBGene00010959","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"atp-6","WBGene00010960","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex V"
"nduo-2","WBGene00010961","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"ctb-1","WBGene00000829","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex III"
"ctc-3","WBGene00010962","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex IV"
"nduo-4","WBGene00010963","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"ctc-1","WBGene00010964","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex IV"
"ctc-2","WBGene00010965","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex IV"
"nduo-3","WBGene00010966","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"nduo-5","WBGene00010967","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"frm-5.2","WBGene00021406",NA,NA,NA
"Y38C1AB.5","WBGene00021407",NA,NA,NA
"trpl-4","WBGene00021408",NA,NA,NA
"Y38C1AB.3","WBGene00021405",NA,NA,NA
"Y38C1AB.7","WBGene00021409",NA,NA,NA
"trpl-3","WBGene00021404",NA,NA,NA
"frm-5.1","WBGene00001492","Signaling","Signaling: FERM","Signaling: FERM"
"Y38C1AB.1","WBGene00021403",NA,NA,NA
"T05C7.4","WBGene00235257","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"T05C7.5","WBGene00235258",NA,NA,NA
"T05C7.7","WBGene00235260",NA,NA,NA
"T05C7.8","WBGene00235261",NA,NA,NA
"T05C7.9","WBGene00235262",NA,NA,NA
"scl-23","WBGene00015246","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: peptidase inhibitor 16"
"tpa-1","WBGene00006599","Neuronal function","Neuronal function: unassigned","Neuronal function: unassigned"
"B0545.4","WBGene00015247",NA,NA,NA
"F29C4.4","WBGene00017927",NA,NA,NA
"tut-1","WBGene00017928","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: production"
"grld-1","WBGene00017929","mRNA functions","mRNA functions: binding","mRNA functions: binding: RBM"
"F29C4.2","WBGene00017926","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex IV"
"daf-1","WBGene00000897","Signaling","Signaling: TGF beta","Signaling: TGF beta"
"col-99","WBGene00000674","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"Y38C1AA.9","WBGene00021400","Unassigned","Unassigned","Unassigned"
"Y38C1AA.7","WBGene00021398","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y38C1AA.19","WBGene00219750",NA,NA,NA
"Y38C1AA.6","WBGene00021397",NA,NA,NA
"cutl-24","WBGene00021396","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"tcl-2","WBGene00006561","Development","Development: somatic","Development: somatic"
"pnc-1","WBGene00021395","Metabolism","Metabolism: nicotinate and nicotinamide metabolism","Metabolism: nicotinate and nicotinamide metabolism"
"Y38C1AA.12","WBGene00021402","Proteolysis proteasome","Proteolysis proteasome: unassigned","Proteolysis proteasome: unassigned"
"csn-3","WBGene00000815","Proteolysis proteasome","Proteolysis proteasome: NEDD","Proteolysis proteasome: NEDD"
"gfrp-1","WBGene00044736","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"Y38C1AA.14","WBGene00195063","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: cytochrome c oxidase assembly factor"
"Y38C1AA.1","WBGene00021394","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"prdx-6","WBGene00021401",NA,NA,NA
"R02D3.3","WBGene00019821",NA,NA,NA
"R02D3.4","WBGene00019822","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: integrator"
"fnta-1","WBGene00019823","Protein modification","Protein modification: lipidation","Protein modification: lipidation"
"cogc-8","WBGene00019820","Trafficking","Trafficking: ER/Golgi","Trafficking: ER/Golgi: oligomeric Golgi complex"
"R02D3.1","WBGene00019819","Metabolism","Metabolism: amino acid","Metabolism: amino acid: synthesis"
"grl-19","WBGene00001728","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like"
"R02D3.7","WBGene00019824","Unassigned","Unassigned","Unassigned"
"R02D3.8","WBGene00019825",NA,NA,NA
"dpy-9","WBGene00001071","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"pqbp-1.1","WBGene00020647",NA,NA,NA
"pat-6","WBGene00003932","Muscle function","Muscle function","Muscle function"
"T21D12.12","WBGene00020651","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: unassigned"
"T21D12.11","WBGene00020650",NA,NA,NA
"srh-282","WBGene00005487",NA,NA,NA
"sma-10","WBGene00020649",NA,NA,NA
"best-19","WBGene00206487",NA,NA,NA
"T21D12.14","WBGene00045177","Unassigned","Unassigned","Unassigned"
"T21D12.7","WBGene00020648","Proteolysis general","Proteolysis general: serine","Proteolysis general: serine"
"K02D7.1","WBGene00019298","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide"
"swt-1","WBGene00019300","Transmembrane transport","Transmembrane transport: sugar","Transmembrane transport: sugar"
"snai-1","WBGene00019299","Transcription factor","Transcription factor: ZF","Transcription factor: ZF"
"dsc-4","WBGene00001099","Metabolism","Metabolism: lipid","Metabolism: lipid: binding"
"grl-26","WBGene00001735","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like"
"drl-1","WBGene00017578","Signaling","Signaling: Y kinase","Signaling: Y kinase"
"col-101","WBGene00000675","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"F18F11.4","WBGene00017577","Unassigned","Unassigned","Unassigned: Glycosyltransferase family A "
"F18F11.1","WBGene00017574","Peroxisome","Peroxisome: unassigned","Peroxisome: unassigned"
"cdh-8","WBGene00017576","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin"
"fln-1","WBGene00022048","Muscle function","Muscle function","Muscle function"
"spl-1","WBGene00004981","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid"
"pqbp-1.2","WBGene00020295","Pseudogene","Pseudogene","Pseudogene"
"rps-24","WBGene00004493","Ribosome","Ribosome: subunit","Ribosome: subunit"
"T07A9.14","WBGene00044789",NA,NA,NA
"tag-261","WBGene00020300","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"ears-2","WBGene00001338","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: production"
"T07A9.10","WBGene00020298","Trafficking","Trafficking: vesicle targeting/fusion","Trafficking: vesicle targeting/fusion: SNARE"
"T07A9.15","WBGene00045249","Unassigned","Unassigned","Unassigned"
"nog-1","WBGene00020297","Signaling","Signaling: small GTPase","Signaling: small GTPase: unassigned"
"T07A9.8","WBGene00020296","Ribosome","Ribosome: biogenesis","Ribosome: biogenesis"
"gpa-4","WBGene00001666","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: G alpha subunit"
"kgb-1","WBGene00002187","Stress response","Stress response: pathogen","Stress response: pathogen: signaling"
"T07A9.12","WBGene00020299","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"eri-1","WBGene00001332","Non-coding RNA","Non-coding RNA: small RNA","Non-coding RNA: small RNA: unassigned"
"daf-18","WBGene00000913","Signaling","Signaling: lipid","Signaling: lipid: phosphatase"
"Y66H1A.4","WBGene00022046","Ribosome","Ribosome: biogenesis","Ribosome: biogenesis"
"Y66H1A.5","WBGene00022047","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"hum-8","WBGene00002041","Muscle function","Muscle function","Muscle function"
"mrpl-55","WBGene00022045","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"dpm-1","WBGene00022044","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate"
"Y66H1A.8","WBGene00235263",NA,NA,NA
"M04G7.5","WBGene00235264",NA,NA,NA
"M04G7.1","WBGene00019772","Unassigned","Unassigned","Unassigned"
"M04G7.2","WBGene00019773",NA,NA,NA
"M04G7.3","WBGene00019774","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"W03G1.5","WBGene00021011","Unassigned","Unassigned","Unassigned"
"pig-1","WBGene00021012","Development","Development: general","Development: general"
"asm-3","WBGene00000213","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid"
"W03G1.2","WBGene00021010",NA,NA,NA
"W03G1.8","WBGene00021013",NA,NA,NA
"glt-7","WBGene00001625","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"F09C11.1","WBGene00017276",NA,NA,NA
"F56A11.4","WBGene00018924","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"efn-4","WBGene00001165","Development","Development: somatic","Development: somatic"
"F56A11.7","WBGene00018927",NA,NA,NA
"F56A11.5","WBGene00018925","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"gex-2","WBGene00001579","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rho/Rac"
"F56A11.6","WBGene00018926","Development","Development: apoptosis","Development: apoptosis"
"C18H7.12","WBGene00189987","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C18H7.5","WBGene00015995",NA,NA,NA
"C18H7.6","WBGene00015996","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C18H7.4","WBGene00015994","Signaling","Signaling: Y kinase","Signaling: Y kinase"
"C18H7.7","WBGene00015997",NA,NA,NA
"C18H7.11","WBGene00044457",NA,NA,NA
"srt-59","WBGene00015998",NA,NA,NA
"prmt-4","WBGene00015999","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"col-102","WBGene00000676","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"inx-18","WBGene00002140","Cytoskeleton","Cytoskeleton: innexin","Cytoskeleton: innexin"
"C18H7.1","WBGene00015993","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"nhr-76","WBGene00015497","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"K11H12.9","WBGene00019665","Signaling","Signaling: MAPK","Signaling: MAPK"
"K11H12.1","WBGene00019658","Unassigned","Unassigned","Unassigned"
"rpl-15","WBGene00004427","Ribosome","Ribosome: subunit","Ribosome: subunit"
"K11H12.8","WBGene00019664","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"K11H12.7","WBGene00019663",NA,NA,NA
"K11H12.6","WBGene00019662",NA,NA,NA
"K11H12.11","WBGene00044723",NA,NA,NA
"K11H12.3","WBGene00019659",NA,NA,NA
"K11H12.4","WBGene00019660",NA,NA,NA
"K11H12.10","WBGene00044458","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"K11H12.5","WBGene00019661",NA,NA,NA
"cutl-28","WBGene00018256","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"cutl-26","WBGene00021950","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"clec-164","WBGene00021949",NA,NA,NA
"Y55F3C.10","WBGene00044460",NA,NA,NA
"Y55F3C.9","WBGene00044459",NA,NA,NA
"srt-24","WBGene00021951","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: srt"
"kvs-5","WBGene00021948","Transmembrane transport","Transmembrane transport: potassium channel","Transmembrane transport: potassium channel"
"srt-23","WBGene00021947",NA,NA,NA
"gst-40","WBGene00001788","Stress response","Stress response: detoxification","Stress response: detoxification: GST"
"col-103","WBGene00000677","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"F56B3.2","WBGene00018928","Unassigned","Unassigned","Unassigned"
"F56B3.9","WBGene00018933",NA,NA,NA
"mrpl-2","WBGene00018932","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"ugt-52","WBGene00018931","Stress response","Stress response: detoxification","Stress response: detoxification: ugt"
"F56B3.4","WBGene00004824","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: subunit"
"F56B3.6","WBGene00018930","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"skr-18","WBGene00018935",NA,NA,NA
"F56B3.11","WBGene00018934","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: translocase"
"ech-5","WBGene00001154","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation"
"mrpl-46","WBGene00021935","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"Y55F3BL.4","WBGene00185088",NA,NA,NA
"Y55F3BL.6","WBGene00235283","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"zipt-20","WBGene00021936","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"madf-1","WBGene00021942","Unassigned","Unassigned","Unassigned"
"Y55F3BR.10","WBGene00044742",NA,NA,NA
"Y55F3BR.6","WBGene00021943","Stress response","Stress response: heat","Stress response: heat"
"lgc-33","WBGene00021941","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel"
"lem-4","WBGene00021945","Transmembrane protein","Transmembrane protein: ER","Transmembrane protein: ER"
"Y55F3BR.11","WBGene00044757","Unassigned","Unassigned","Unassigned"
